Country,Afghanistan,Albania,Algeria,Andorra,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Belarus,Belgium,Benin,Bolivia,Herzegovina,Brazil,Bulgaria,Faso,Cameroon,Canada,Republic,Chad,Chile,China,Colombia,Rica,Ivoire,Croatia,Cuba,Cyprus,Czechia,Denmark,Princess,Djibouti,Republic,Ecuador,Egypt,Salvador,Guinea,Estonia,Ethiopia,Finland,France,Gabon,Georgia,Germany,Ghana,Greece,Guatemala,Guinea,Bissau,Guyana,Haiti,Honduras,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Kazakhstan,Kenya,South,Kosovo,Kuwait,Kyrgyzstan,Latvia,Lebanon,Liberia,Libya,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Mali,Mauritania,Mauritius,Mexico,Moldova,Morocco,Nepal,Netherlands,Zealand,Nicaragua,Niger,Nigeria,Macedonia,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Marino,Principe,Arabia,Senegal,Serbia,Leone,Singapore,Slovakia,Slovenia,Somalia,Africa,Sudan,Spain,Lanka,Sudan,Sweden,Switzerland,Tajikistan,Tanzania,Thailand,Togo,Tunisia,Turkey,US,Ukraine,Emirates,Kingdom,Uruguay,Uzbekistan,Venezuela,World,Yemen,Zambia,Albania,Algeria,Andorra,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Belarus,Belgium,Benin,Bolivia,Herzegovina,Brazil,Bulgaria,Faso,Cameroon,Canada,Republic,Chad,Chile,China,Colombia,Rica,Ivoire,Croatia,Cuba,Cyprus,Czechia,Denmark,Princess,Djibouti,Republic,Ecuador,Egypt,Salvador,Guinea,Estonia,Ethiopia,Finland,France,Gabon,Georgia,Germany,Ghana,Greece,Guatemala,Guinea,Bissau,Guyana,Haiti,Honduras,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Kazakhstan,Kenya,South,Kosovo,Kuwait,Kyrgyzstan,Latvia,Lebanon,Liberia,Libya,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Mali,Mauritania,Mauritius,Mexico,Moldova,Morocco,Nepal,Netherlands,Zealand,Nicaragua,Niger,Nigeria,Macedonia,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Marino,Principe,Arabia,Senegal,Serbia,Leone,Singapore,Slovakia,Slovenia,Somalia,Africa,Sudan,Spain,Lanka,Sudan,Sweden,Switzerland,Tajikistan,Tanzania,Thailand,Togo,Tunisia,Turkey,US,Ukraine,Emirates,Kingdom,Uruguay,Uzbekistan,Venezuela,World,Yemen,Zambia
2020/4/5,,20,130,17,,43,,30,186,,,,,,1283,,10,21,445,17,16,,218,,,27,3335,32,,,12,,11,59,161,11,,68,172,71,,,13,,25,7574,,,1444,,68,,,,,,15,32,,86,191,3452,56,137,44,15362,,77,,,177,,,,,17,,,11,31,,,57,,,,79,12,59,,1656,,,,,17,62,,47,41,,73,144,79,266,,146,43,32,,29,,44,,,,22,,,,11947,,,373,666,,,20,,18,501,10912,32,10,5228,,,,68044,,,20,130,17,,43,,30,186,,,,,,1283,,10,21,445,17,16,,218,,,27,3335,32,,,12,,11,59,161,11,,68,172,71,,,13,,25,7574,,,1444,,68,,,,,,15,32,,86,191,3452,56,137,44,15362,,77,,,177,,,,,17,,,11,31,,,57,,,,79,12,59,,1656,,,,,17,62,,47,41,,73,144,79,266,,146,43,32,,29,,44,,,,22,,,,11947,,,373,666,,,20,,18,501,10912,32,10,5228,,,,68044,,
2020/4/6,,20,152,18,,44,,35,204,,,,,,1447,,10,23,486,20,17,,259,,,34,3338,35,,,15,,9,67,179,11,,82,180,78,,,15,,28,8093,,,1584,,73,,,,,,22,34,,99,198,3603,61,158,49,15887,,77,,,183,,,,,18,,,13,36,,,61,,,,94,15,70,,1771,,,10,,18,71,,53,46,,83,152,94,295,,151,45,32,,34,,51,,,,28,,11,,12641,,,401,715,,,23,,22,574,12323,37,10,5874,,,,73031,,,20,152,18,,44,,35,204,,,,,,1447,,10,23,486,20,17,,259,,,34,3338,35,,,15,,9,67,179,11,,82,180,78,,,15,,28,8093,,,1584,,73,,,,,,22,34,,99,198,3603,61,158,49,15887,,77,,,183,,,,,18,,,13,36,,,61,,,,94,15,70,,1771,,,10,,18,71,,53,46,,83,152,94,295,,151,45,32,,34,,51,,,,28,,11,,12641,,,401,715,,,23,,22,574,12323,37,10,5874,,,,73031,,
2020/4/7,11,21,173,21,,48,,40,220,,,,12,13,1632,,11,29,564,22,18,,339,,,37,3340,46,,,16,,9,78,187,11,,86,191,85,,,19,,27,8926,,,1810,,79,,,,,,22,38,,136,209,3739,64,174,57,16523,,85,,,186,,,,,19,,,15,41,,,62,,,,125,19,80,,1874,,,10,,23,76,,57,54,,92,163,107,311,,176,47,32,,38,,58,,,,30,,12,,13341,,,477,765,,,26,,22,649,13985,38,11,6445,,,,78862,,,21,173,21,,48,,40,220,,,,12,13,1632,,11,29,564,22,18,,339,,,37,3340,46,,,16,,9,78,187,11,,86,191,85,,,19,,27,8926,,,1810,,79,,,,,,22,38,,136,209,3739,64,174,57,16523,,85,,,186,,,,,19,,,15,41,,,62,,,,125,19,80,,1874,,,10,,23,76,,57,54,,92,163,107,311,,176,47,32,,38,,58,,,,30,,12,,13341,,,477,765,,,26,,22,649,13985,38,11,6445,,,,78862,,
2020/4/8,14,22,193,22,,56,,45,243,,,,17,13,2035,,14,33,686,23,19,,375,,,43,3340,50,,,18,11,9,88,203,11,,98,191,94,,,21,,34,10343,,,2016,,81,,,,,,22,47,,150,221,3872,65,210,65,17127,,92,,,192,,,,,19,,,15,44,,,63,,,,141,22,90,,2108,,,11,,26,89,,61,55,,107,177,129,345,,197,58,34,,41,,61,,,,36,,13,,14045,,,591,821,,,27,,23,725,16290,45,12,7483,,,,86765,,,22,193,22,,56,,45,243,,,,17,13,2035,,14,33,686,23,19,,375,,,43,3340,50,,,18,11,9,88,203,11,,98,191,94,,,21,,34,10343,,,2016,,81,,,,,,22,47,,150,221,3872,65,210,65,17127,,92,,,192,,,,,19,,,15,44,,,63,,,,141,22,90,,2108,,,11,,26,89,,61,55,,107,177,129,345,,197,58,34,,41,,61,,,,36,,13,,14045,,,591,821,,,27,,23,725,16290,45,12,7483,,,,86765,,
2020/4/9,14,22,205,23,,63,,50,273,,,,20,13,2240,,15,34,819,24,23,10,407,,,48,3342,54,,,19,12,9,99,218,11,,108,242,103,,,24,,40,10887,,,2349,,83,,,,,,22,58,,178,240,3993,69,235,73,17669,,93,,,200,,,,,19,,,15,46,,,65,,,,174,27,93,,2255,,,11,,29,101,,65,59,,121,182,159,380,,220,63,34,,41,,65,,,,40,,18,,14792,,,687,895,,,30,,24,812,18369,52,12,8519,,,,93457,,,22,205,23,,63,,50,273,,,,20,13,2240,,15,34,819,24,23,10,407,,,48,3342,54,,,19,12,9,99,218,11,,108,242,103,,,24,,40,10887,,,2349,,83,,,,,,22,58,,178,240,3993,69,235,73,17669,,93,,,200,,,,,19,,,15,46,,,65,,,,174,27,93,,2255,,,11,,29,101,,65,59,,121,182,159,380,,220,63,34,,41,,65,,,,40,,18,,14792,,,687,895,,,30,,24,812,18369,52,12,8519,,,,93457,,
2020/4/10,15,23,235,25,,72,10,51,295,,,,21,16,2523,,18,35,950,24,24,10,503,,,57,3344,69,,,20,15,10,112,237,11,,118,272,118,,,24,,42,12228,,,2607,,87,,,,,,23,66,,226,280,4110,69,263,86,18279,,94,,,204,,,,,19,,,16,52,,,67,,,,194,29,97,,2403,,,11,,30,108,,66,63,,138,203,174,409,,248,76,34,,44,,66,,,,43,,18,,15447,,,793,948,,,32,,25,908,20415,57,14,9623,,,,101043,,,23,235,25,,72,10,51,295,,,,21,16,2523,,18,35,950,24,24,10,503,,,57,3344,69,,,20,15,10,112,237,11,,118,272,118,,,24,,42,12228,,,2607,,87,,,,,,23,66,,226,280,4110,69,263,86,18279,,94,,,204,,,,,19,,,16,52,,,67,,,,194,29,97,,2403,,,11,,30,108,,66,63,,138,203,174,409,,248,76,34,,44,,66,,,,43,,18,,15447,,,793,948,,,32,,25,908,20415,57,14,9623,,,,101043,,
2020/4/11,15,23,256,26,,82,12,54,319,10,,,27,19,3019,,19,36,1057,25,24,12,557,,,65,3346,80,,,21,15,10,119,247,11,,126,297,135,,,24,,48,13215,,,2767,,92,,,,,,23,77,,246,306,4232,70,287,95,18849,,99,10,,208,,,,,20,,,22,54,,,70,,,,233,29,107,,2520,,,11,,32,113,,86,66,,169,221,181,435,,270,94,34,,47,,71,,,,45,,24,,16081,,,870,1002,,,33,,25,1006,22486,69,16,10776,,,,108286,,,23,256,26,,82,12,54,319,10,,,27,19,3019,,19,36,1057,25,24,12,557,,,65,3346,80,,,21,15,10,119,247,11,,126,297,135,,,24,,48,13215,,,2767,,92,,,,,,23,77,,246,306,4232,70,287,95,18849,,99,10,,208,,,,,20,,,22,54,,,70,,,,233,29,107,,2520,,,11,,32,113,,86,66,,169,221,181,435,,270,94,34,,47,,71,,,,45,,24,,16081,,,870,1002,,,33,,25,1006,22486,69,16,10776,,,,108286,,
2020/4/12,18,23,275,26,,83,13,57,337,11,,,30,23,3346,,20,37,1124,28,27,12,654,,,73,3349,100,,,21,16,10,129,260,11,,135,315,146,,,24,,49,13851,,,2736,,93,,,,,,24,85,,288,327,4357,72,320,101,19468,,99,10,,211,,,,,20,,,23,62,,,73,,,,273,30,111,,2653,,,11,10,34,119,,91,74,,181,247,208,470,,291,106,35,,52,,74,,,,50,,25,,16606,,,887,1036,,,35,,28,1101,24498,73,20,11616,,,,114307,,,23,275,26,,83,13,57,337,11,,,30,23,3346,,20,37,1124,28,27,12,654,,,73,3349,100,,,21,16,10,129,260,11,,135,315,146,,,24,,49,13851,,,2736,,93,,,,,,24,85,,288,327,4357,72,320,101,19468,,99,10,,211,,,,,20,,,23,62,,,73,,,,273,30,111,,2653,,,11,10,34,119,,91,74,,181,247,208,470,,291,106,35,,52,,74,,,,50,,25,,16606,,,887,1036,,,35,,28,1101,24498,73,20,11616,,,,114307,,
2020/4/13,18,23,293,29,,90,13,60,350,11,,,34,26,3600,,24,39,1223,29,27,12,714,,,80,3349,109,,,23,18,11,138,273,11,,173,333,159,,,25,,56,14412,,,3022,,98,,,,,,25,99,,331,373,4474,76,334,103,19899,,108,10,,214,,,,,20,,,23,66,,,76,,,,296,31,118,,2747,,,12,10,34,128,,93,79,,193,297,232,504,,316,130,35,,59,,80,,,,53,,25,,17209,,,899,1106,,,38,,31,1198,26238,83,22,12302,,,,120007,,,23,293,29,,90,13,60,350,11,,,34,26,3600,,24,39,1223,29,27,12,714,,,80,3349,109,,,23,18,11,138,273,11,,173,333,159,,,25,,56,14412,,,3022,,98,,,,,,25,99,,331,373,4474,76,334,103,19899,,108,10,,214,,,,,20,,,23,66,,,76,,,,296,31,118,,2747,,,12,10,34,128,,93,79,,193,297,232,504,,316,130,35,,59,,80,,,,53,,25,,17209,,,899,1106,,,38,,31,1198,26238,83,22,12302,,,,120007,,
2020/4/14,21,23,313,29,,97,14,61,368,12,,,39,29,3903,,27,39,1328,32,27,12,781,,,82,3351,112,,,25,21,12,143,285,11,,177,355,164,,,28,,59,14986,,,3194,,99,,,,,,25,109,,358,399,4585,78,365,116,20465,,123,12,,217,,,,,20,,,24,69,,,77,10,,,332,35,126,,2833,,,12,10,38,134,,96,87,,216,315,245,535,,331,148,35,,65,,85,,,,55,,27,,17756,,,919,1138,,,40,,34,1296,28036,93,25,13047,,,,125730,,,23,313,29,,97,14,61,368,12,,,39,29,3903,,27,39,1328,32,27,12,781,,,82,3351,112,,,25,21,12,143,285,11,,177,355,164,,,28,,59,14986,,,3194,,99,,,,,,25,109,,358,399,4585,78,365,116,20465,,123,12,,217,,,,,20,,,24,69,,,77,10,,,332,35,126,,2833,,,12,10,38,134,,96,87,,216,315,245,535,,331,148,35,,65,,85,,,,55,,27,,17756,,,919,1138,,,40,,34,1296,28036,93,25,13047,,,,125730,,
2020/4/15,23,24,326,31,,102,16,62,384,13,,,46,33,4157,,28,40,1532,35,30,14,901,,,92,3351,127,,,31,21,12,161,299,12,,183,369,178,,,31,,64,15731,,,3294,,101,,,,,,26,122,,393,459,4683,78,406,123,21067,,143,14,,222,,,,,21,,,29,67,,,82,13,,,406,40,126,,2955,,,14,11,44,139,,111,94,,230,335,263,567,,351,170,36,,73,,94,,10,,56,,27,,18056,,,1033,1174,,,41,,34,1403,30429,98,28,14095,,,,132621,,,24,326,31,,102,16,62,384,13,,,46,33,4157,,28,40,1532,35,30,14,901,,,92,3351,127,,,31,21,12,161,299,12,,183,369,178,,,31,,64,15731,,,3294,,101,,,,,,26,122,,393,459,4683,78,406,123,21067,,143,14,,222,,,,,21,,,29,67,,,82,13,,,406,40,126,,2955,,,14,11,44,139,,111,94,,230,335,263,567,,351,170,36,,73,,94,,10,,56,,27,,18056,,,1033,1174,,,41,,34,1403,30429,98,28,14095,,,,132621,,
2020/4/16,25,25,336,33,,111,17,63,393,13,,,50,36,4440,,28,41,1736,36,32,17,1008,,,94,3352,131,,,33,24,12,166,309,12,,189,388,183,,,35,,72,17169,,,3804,,102,,,,,,31,134,,405,469,4777,79,444,130,21645,,146,16,10,225,,,,,21,,,30,69,,,83,13,,,449,46,127,,3145,,,14,12,45,150,,128,95,,254,349,286,599,,372,198,36,,79,,99,,10,,61,,34,,18708,,,1203,1239,,,43,,35,1518,32944,108,33,14941,,,,140886,,,25,336,33,,111,17,63,393,13,,,50,36,4440,,28,41,1736,36,32,17,1008,,,94,3352,131,,,33,24,12,166,309,12,,189,388,183,,,35,,72,17169,,,3804,,102,,,,,,31,134,,405,469,4777,79,444,130,21645,,146,16,10,225,,,,,21,,,30,69,,,83,13,,,449,46,127,,3145,,,14,12,45,150,,128,95,,254,349,286,599,,372,198,36,,79,,99,,10,,61,,34,,18708,,,1203,1239,,,43,,35,1518,32944,108,33,14941,,,,140886,,
2020/4/17,30,26,348,33,,115,18,63,410,15,,,60,40,4857,,29,43,1924,38,32,22,1259,,,105,3352,144,,,35,27,12,169,321,12,,196,403,196,,,36,,75,17922,,,4052,,105,,,,,,35,142,,448,496,4869,80,486,142,22170,,178,17,11,229,11,,,,21,,,32,69,,,84,13,,,486,54,130,,3327,,,14,13,46,152,,135,103,,274,362,314,629,,392,232,38,,83,,103,,10,,61,,48,,19315,,,1333,1281,,,46,,37,1643,35031,116,35,15974,,,,148157,,,26,348,33,,115,18,63,410,15,,,60,40,4857,,29,43,1924,38,32,22,1259,,,105,3352,144,,,35,27,12,169,321,12,,196,403,196,,,36,,75,17922,,,4052,,105,,,,,,35,142,,448,496,4869,80,486,142,22170,,178,17,11,229,11,,,,21,,,32,69,,,84,13,,,486,54,130,,3327,,,14,13,46,152,,135,103,,274,362,314,629,,392,232,38,,83,,103,,10,,61,,48,,19315,,,1333,1281,,,46,,37,1643,35031,116,35,15974,,,,148157,,
2020/4/18,30,26,364,35,,123,19,66,431,15,,,75,42,5163,,31,46,2141,41,35,22,1356,,,116,4642,153,,,36,31,12,173,336,13,,200,421,205,,,38,,82,18683,,,4352,,108,,,,,,41,156,,486,520,4958,81,530,151,22745,,190,17,11,230,12,,,,21,,,33,72,,,86,13,,,546,56,135,,3471,11,,18,17,49,161,,143,109,,300,387,332,657,,411,273,39,,87,,110,,11,,66,,50,,20002,,,1400,1327,,,47,,37,1769,37621,125,37,16910,,,,157022,,,26,364,35,,123,19,66,431,15,,,75,42,5163,,31,46,2141,41,35,22,1356,,,116,4642,153,,,36,31,12,173,336,13,,200,421,205,,,38,,82,18683,,,4352,,108,,,,,,41,156,,486,520,4958,81,530,151,22745,,190,17,11,230,12,,,,21,,,33,72,,,86,13,,,546,56,135,,3471,11,,18,17,49,161,,143,109,,300,387,332,657,,411,273,39,,87,,110,,11,,66,,50,,20002,,,1400,1327,,,47,,37,1769,37621,125,37,16910,,,,157022,,
2020/4/19,30,26,367,35,,129,20,67,443,18,,,84,45,5453,,31,47,2354,41,36,22,1401,,,126,4642,153,,,39,32,12,181,346,13,,217,456,224,,,38,,90,19325,,,4459,,110,,,,,,46,172,,521,535,5031,82,571,164,23227,,222,17,12,232,12,,,,21,,,33,72,,,88,13,,,650,57,137,,3613,11,,19,19,49,164,,168,116,,348,397,347,687,,421,313,39,,92,,117,,11,11,70,,52,,20043,,10,1511,1368,,,47,,37,1890,39966,133,37,18028,,,,163452,,,26,367,35,,129,20,67,443,18,,,84,45,5453,,31,47,2354,41,36,22,1401,,,126,4642,153,,,39,32,12,181,346,13,,217,456,224,,,38,,90,19325,,,4459,,110,,,,,,46,172,,521,535,5031,82,571,164,23227,,222,17,12,232,12,,,,21,,,33,72,,,88,13,,,650,57,137,,3613,11,,19,19,49,164,,168,116,,348,397,347,687,,421,313,39,,92,,117,,11,11,70,,52,,20043,,10,1511,1368,,,47,,37,1890,39966,133,37,18028,,,,163452,,
2020/4/20,33,26,375,36,,132,20,67,452,19,,,91,47,5683,,32,48,2462,42,36,42,1565,,,133,4642,179,,,47,34,12,186,355,13,,226,474,239,,,40,,94,19720,,,4586,,113,,,,,,46,189,,559,582,5118,82,610,172,23660,,236,17,14,234,12,,,,21,,,35,73,,,89,14,,,686,67,141,,3697,12,,20,21,51,165,,176,120,,400,409,360,714,,451,361,39,,97,,122,,11,12,74,,54,,20453,,10,1540,1393,,,47,,38,2017,41148,141,41,18527,10,,,167983,,,26,375,36,,132,20,67,452,19,,,91,47,5683,,32,48,2462,42,36,42,1565,,,133,4642,179,,,47,34,12,186,355,13,,226,474,239,,,40,,94,19720,,,4586,,113,,,,,,46,189,,559,582,5118,82,610,172,23660,,236,17,14,234,12,,,,21,,,35,73,,,89,14,,,686,67,141,,3697,12,,20,21,51,165,,176,120,,400,409,360,714,,451,361,39,,97,,122,,11,12,74,,54,,20453,,10,1540,1393,,,47,,38,2017,41148,141,41,18527,10,,,167983,,
2020/4/21,36,26,384,37,,136,22,67,470,19,,,101,51,5828,,33,49,2587,43,38,42,1727,,,139,4642,189,,,47,36,12,194,364,13,,235,507,250,,,40,,98,20267,,,4862,,116,,,,,,46,199,10,592,590,5209,82,687,177,24114,,236,19,14,236,15,,,,21,,,37,75,,,89,14,,,712,70,143,,3764,12,,20,22,54,181,,201,126,,445,428,380,735,,478,405,39,,103,,125,,11,13,77,,58,,20852,,12,1580,1429,,10,47,,38,2140,42918,151,43,19092,10,,,173381,,,26,384,37,,136,22,67,470,19,,,101,51,5828,,33,49,2587,43,38,42,1727,,,139,4642,189,,,47,36,12,194,364,13,,235,507,250,,,40,,98,20267,,,4862,,116,,,,,,46,199,10,592,590,5209,82,687,177,24114,,236,19,14,236,15,,,,21,,,37,75,,,89,14,,,712,70,143,,3764,12,,20,22,54,181,,201,126,,445,428,380,735,,478,405,39,,103,,125,,11,13,77,,58,,20852,,12,1580,1429,,10,47,,38,2140,42918,151,43,19092,10,,,173381,,
2020/4/22,36,26,392,37,,147,24,67,491,20,,,110,55,5998,,34,51,2741,45,38,43,1910,,,147,4642,196,,13,48,38,12,201,370,13,,245,520,264,,,43,,141,20798,,,5033,,121,,,,,,46,213,10,645,616,5297,83,730,184,24648,,263,19,14,237,18,11,,,21,,,38,78,,,92,14,,,857,72,145,,3929,13,,20,22,55,182,,212,136,,484,437,401,762,,498,456,40,,109,,130,,11,14,77,,58,,21282,,12,1765,1478,,10,48,,38,2259,45314,161,46,20264,12,,10,180475,,,26,392,37,,147,24,67,491,20,,,110,55,5998,,34,51,2741,45,38,43,1910,,,147,4642,196,,13,48,38,12,201,370,13,,245,520,264,,,43,,141,20798,,,5033,,121,,,,,,46,213,10,645,616,5297,83,730,184,24648,,263,19,14,237,18,11,,,21,,,38,78,,,92,14,,,857,72,145,,3929,13,,20,22,55,182,,212,136,,484,437,401,762,,498,456,40,,109,,130,,11,14,77,,58,,21282,,12,1765,1478,,10,48,,38,2259,45314,161,46,20264,12,,10,180475,,
2020/4/23,40,27,402,37,,152,24,67,510,20,,,120,58,6262,,37,53,2906,49,39,43,2078,,,160,4642,206,,14,48,40,13,208,384,13,,260,537,276,,,44,,149,21342,,,5279,,121,,,,,,46,225,10,681,635,5391,83,769,189,25085,,281,19,14,238,18,13,,11,22,,,38,80,,,93,17,,,970,75,149,,4068,14,,22,28,56,187,,237,141,,530,446,426,785,10,524,513,40,,114,,134,,12,14,79,,65,,21717,,13,1937,1509,,10,49,,38,2376,47649,174,52,21111,12,,10,187174,,,27,402,37,,152,24,67,510,20,,,120,58,6262,,37,53,2906,49,39,43,2078,,,160,4642,206,,14,48,40,13,208,384,13,,260,537,276,,,44,,149,21342,,,5279,,121,,,,,,46,225,10,681,635,5391,83,769,189,25085,,281,19,14,238,18,13,,11,22,,,38,80,,,93,17,,,970,75,149,,4068,14,,22,28,56,187,,237,141,,530,446,426,785,10,524,513,40,,114,,134,,12,14,79,,65,,21717,,13,1937,1509,,10,49,,38,2376,47649,174,52,21111,12,,10,187174,,
2020/4/24,42,27,407,37,,165,24,75,522,20,11,,127,60,6490,,43,54,3331,52,41,43,2241,,,168,4642,215,,14,50,43,13,210,394,13,,265,560,287,,,45,,172,21858,,,5575,,125,11,,,,,47,239,10,721,647,5481,83,794,192,25549,,328,20,14,240,19,14,,11,22,,,40,83,,,95,21,,,1069,80,155,,4192,17,,24,31,56,194,,253,146,,572,462,454,820,10,545,555,40,,121,,139,,12,15,79,16,75,,22157,,16,2021,1549,,10,50,,38,2491,49969,187,56,21840,12,,10,193926,,,27,407,37,,165,24,75,522,20,11,,127,60,6490,,43,54,3331,52,41,43,2241,,,168,4642,215,,14,50,43,13,210,394,13,,265,560,287,,,45,,172,21858,,,5575,,125,11,,,,,47,239,10,721,647,5481,83,794,192,25549,,328,20,14,240,19,14,,11,22,,,40,83,,,95,21,,,1069,80,155,,4192,17,,24,31,56,194,,253,146,,572,462,454,820,10,545,555,40,,121,,139,,12,15,79,16,75,,22157,,16,2021,1549,,10,50,,38,2491,49969,187,56,21840,12,,10,193926,,
2020/4/25,43,27,415,40,,176,27,79,530,21,11,,131,63,6679,,44,55,3704,54,41,43,2402,,,174,4642,225,,14,51,49,14,214,403,13,,267,576,294,,,46,,177,22248,,,5760,10,130,11,,,,,55,262,10,780,689,5574,86,1014,194,25969,,345,25,14,240,19,15,,12,22,,,40,85,,,96,21,,,1221,84,158,,4304,18,,24,32,57,199,10,269,154,,634,477,494,854,10,567,615,40,,127,,144,,12,17,80,16,79,,22524,,16,2152,1589,,10,51,,38,2600,51746,201,64,22853,12,,10,200266,,,27,415,40,,176,27,79,530,21,11,,131,63,6679,,44,55,3704,54,41,43,2402,,,174,4642,225,,14,51,49,14,214,403,13,,267,576,294,,,46,,177,22248,,,5760,10,130,11,,,,,55,262,10,780,689,5574,86,1014,194,25969,,345,25,14,240,19,15,,12,22,,,40,85,,,96,21,,,1221,84,158,,4304,18,,24,32,57,199,10,269,154,,634,477,494,854,10,567,615,40,,127,,144,,12,17,80,16,79,,22524,,16,2152,1589,,10,51,,38,2600,51746,201,64,22853,12,,10,200266,,
2020/4/26,47,27,419,40,,185,28,80,536,21,11,,140,67,6917,,46,57,4057,55,41,53,2571,,,181,4642,233,,14,54,51,14,218,418,13,,273,576,307,,,46,,186,22617,,,5877,10,130,13,,,,,59,262,10,825,720,5650,86,1063,199,26384,,360,25,14,242,20,19,,12,24,11,,41,85,,,98,21,,,1305,94,159,,4424,18,,27,35,59,201,10,281,159,,700,494,524,880,10,601,681,40,,136,,151,,12,17,81,18,86,,22902,,17,2192,1599,,10,51,,38,2706,54015,201,71,23697,14,,10,206459,,,27,419,40,,185,28,80,536,21,11,,140,67,6917,,46,57,4057,55,41,53,2571,,,181,4642,233,,14,54,51,14,218,418,13,,273,576,307,,,46,,186,22617,,,5877,10,130,13,,,,,59,262,10,825,720,5650,86,1063,199,26384,,360,25,14,242,20,19,,12,24,11,,41,85,,,98,21,,,1305,94,159,,4424,18,,27,35,59,201,10,281,159,,700,494,524,880,10,601,681,40,,136,,151,,12,17,81,18,86,,22902,,17,2192,1599,,10,51,,38,2706,54015,201,71,23697,14,,10,206459,,
2020/4/27,50,28,425,40,,192,28,83,542,21,11,,145,72,7094,,50,59,4286,56,42,56,2687,,,189,4643,244,,14,55,54,14,220,422,13,,278,576,317,,,49,,190,22859,,,5976,11,134,15,,,,,59,272,10,881,743,5710,87,1087,201,26644,,372,25,14,243,21,20,,12,24,12,,41,88,,,98,23,,,1351,96,161,,4491,19,,29,40,61,201,10,292,165,,728,501,535,903,10,619,747,41,,139,,156,,12,18,82,23,87,,23190,,21,2194,1610,,10,51,,38,2805,55162,209,76,24117,15,,10,210192,,,28,425,40,,192,28,83,542,21,11,,145,72,7094,,50,59,4286,56,42,56,2687,,,189,4643,244,,14,55,54,14,220,422,13,,278,576,317,,,49,,190,22859,,,5976,11,134,15,,,,,59,272,10,881,743,5710,87,1087,201,26644,,372,25,14,243,21,20,,12,24,12,,41,88,,,98,23,,,1351,96,161,,4491,19,,29,40,61,201,10,292,165,,728,501,535,903,10,619,747,41,,139,,156,,12,18,82,23,87,,23190,,21,2194,1610,,10,51,,38,2805,55162,209,76,24117,15,,10,210192,,
2020/4/28,57,28,432,40,,197,29,83,549,22,11,,152,75,7207,,53,60,4603,58,42,58,2841,,,198,4643,253,,14,59,56,15,223,427,13,,282,663,337,,,50,,193,23296,,,6126,11,136,15,,,,,61,280,10,939,765,5806,88,1102,204,26977,,385,25,14,244,22,22,,13,24,12,,41,88,,,99,23,,10,1434,102,162,,4534,19,,29,40,65,205,10,312,167,,782,511,562,928,10,641,794,41,,144,,162,,14,18,83,26,90,,23521,,22,2274,1665,,10,52,,39,2900,56502,220,82,24458,15,,10,214747,,,28,432,40,,197,29,83,549,22,11,,152,75,7207,,53,60,4603,58,42,58,2841,,,198,4643,253,,14,59,56,15,223,427,13,,282,663,337,,,50,,193,23296,,,6126,11,136,15,,,,,61,280,10,939,765,5806,88,1102,204,26977,,385,25,14,244,22,22,,13,24,12,,41,88,,,99,23,,10,1434,102,162,,4534,19,,29,40,65,205,10,312,167,,782,511,562,928,10,641,794,41,,144,,162,,14,18,83,26,90,,23521,,22,2274,1665,,10,52,,39,2900,56502,220,82,24458,15,,10,214747,,
2020/4/29,58,30,437,41,,207,30,89,569,22,11,,155,79,7331,,55,63,5083,58,42,58,2983,,,207,4643,269,,14,63,58,15,227,434,13,,286,871,359,,,50,,199,23663,,,6314,16,138,15,,,,,64,291,10,1008,773,5877,90,1159,210,27359,,394,25,14,246,22,23,,13,24,16,,44,89,,,100,24,,10,1569,103,165,,4582,19,,31,44,71,206,10,343,167,,854,530,596,948,10,663,867,41,,152,,168,,14,20,86,28,93,,23822,,25,2355,1699,,10,54,,40,2992,58632,239,89,25369,15,,10,221109,,,30,437,41,,207,30,89,569,22,11,,155,79,7331,,55,63,5083,58,42,58,2983,,,207,4643,269,,14,63,58,15,227,434,13,,286,871,359,,,50,,199,23663,,,6314,16,138,15,,,,,64,291,10,1008,773,5877,90,1159,210,27359,,394,25,14,246,22,23,,13,24,16,,44,89,,,100,24,,10,1569,103,165,,4582,19,,31,44,71,206,10,343,167,,854,530,596,948,10,663,867,41,,152,,168,,14,20,86,28,93,,23822,,25,2355,1699,,10,54,,40,2992,58632,239,89,25369,15,,10,221109,,
