Country,Afghanistan,Albania,Algeria,Andorra,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Belarus,Belgium,Benin,Bolivia,Herzegovina,Brazil,Brunei,Bulgaria,Faso,Burma,Burundi,Verde,Cambodia,Cameroon,Canada,Republic,Chad,Chile,China,Colombia,Comoros,Rica,Ivoire,Croatia,Cuba,Cyprus,Czechia,Denmark,Princess,Djibouti,Republic,Ecuador,Egypt,Salvador,Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Finland,France,Gabon,Georgia,Germany,Ghana,Gibraltar,Greece,Guatemala,Guinea,Bissau,Guyana,Haiti,Honduras,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,South,Kosovo,Kuwait,Kyrgyzstan,Latvia,Lebanon,Liberia,Libya,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Mauritania,Mauritius,Mexico,Moldova,Mongolia,Montenegro,Morocco,Mozambique,Nepal,Netherlands,Zealand,Nicaragua,Niger,Nigeria,Macedonia,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Marino,Principe,Arabia,Senegal,Serbia,Leone,Singapore,Slovakia,Slovenia,Somalia,Africa,Sudan,Spain,Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Tajikistan,Tanzania,Thailand,Togo,Tobago,Tunisia,Turkey,US,Uganda,Ukraine,Emirates,Kingdom,Uruguay,Uzbekistan,Venezuela,Vietnam,Gaza,World,Yemen,Zambia,Zimbabwe,Albania,Algeria,Andorra,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Belarus,Belgium,Benin,Bolivia,Herzegovina,Brazil,Brunei,Bulgaria,Faso,Burma,Burundi,Verde,Cambodia,Cameroon,Canada,Republic,Chad,Chile,China,Colombia,Comoros,Rica,Ivoire,Croatia,Cuba,Cyprus,Czechia,Denmark,Princess,Djibouti,Republic,Ecuador,Egypt,Salvador,Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Finland,France,Gabon,Georgia,Germany,Ghana,Gibraltar,Greece,Guatemala,Guinea,Bissau,Guyana,Haiti,Honduras,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,South,Kosovo,Kuwait,Kyrgyzstan,Latvia,Lebanon,Liberia,Libya,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Mauritania,Mauritius,Mexico,Moldova,Mongolia,Montenegro,Morocco,Mozambique,Nepal,Netherlands,Zealand,Nicaragua,Niger,Nigeria,Macedonia,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Marino,Principe,Arabia,Senegal,Serbia,Leone,Singapore,Slovakia,Slovenia,Somalia,Africa,Sudan,Spain,Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Tajikistan,Tanzania,Thailand,Togo,Tobago,Tunisia,Turkey,US,Uganda,Ukraine,Emirates,Kingdom,Uruguay,Uzbekistan,Venezuela,Vietnam,Gaza,World,Yemen,Zambia
2020/3/24,,104,230,133,,301,235,1682,4474,,,377,,,3743,,,136,1924,,201,,,,,,,2088,,,746,81693,277,,158,,315,,116,1236,1572,712,,245,981,366,,,,352,,,700,20123,,,29056,,,695,,,,,,,167,588,499,579,23049,266,1125,1071,63927,,1128,127,,,8961,,189,,180,267,,,179,875,,,1518,,,107,,,367,109,,,143,,,4764,102,,,,136,2621,,972,345,,395,462,749,2060,501,576,438,,187,,562,,249,,509,186,442,,402,,35136,,,,2046,8795,,,,721,,,,1529,43845,,,198,6711,162,,,123,,378381,,,,104,230,133,,301,235,1682,4474,,,377,,,3743,,,136,1924,,201,,,,,,,2088,,,746,81693,277,,158,,315,,116,1236,1572,712,,245,981,366,,,,352,,,700,20123,,,29056,,,695,,,,,,,167,588,499,579,23049,266,1125,1071,63927,,1128,127,,,8961,,189,,180,267,,,179,875,,,1518,,,107,,,367,109,,,143,,,4764,102,,,,136,2621,,972,345,,395,462,749,2060,501,576,438,,187,,562,,249,,509,186,442,,402,,35136,,,,2046,8795,,,,721,,,,1529,43845,,,198,6711,162,,,123,,378381,,
2020/3/25,,123,264,164,,387,249,2044,5283,,,392,,,4269,,,166,2247,104,218,114,,,,,,2790,,,922,81806,378,,177,,382,,124,1394,1718,712,,312,1082,402,,,,369,,,792,22622,,,32986,,,743,,,,,,,187,648,536,686,24811,316,1329,1238,69176,,1193,154,,,9037,,191,,197,318,,,209,1099,,,1624,,,110,,,405,125,,,170,,,5580,155,,,,148,2863,,1063,345,,416,552,901,2362,526,794,495,,187,,767,,303,,558,204,480,,554,,39885,102,,,2286,9877,,,,827,,,114,1872,54108,,,248,8149,189,,,134,,418569,,,,123,264,164,,387,249,2044,5283,,,392,,,4269,,,166,2247,104,218,114,,,,,,2790,,,922,81806,378,,177,,382,,124,1394,1718,712,,312,1082,402,,,,369,,,792,22622,,,32986,,,743,,,,,,,187,648,536,686,24811,316,1329,1238,69176,,1193,154,,,9037,,191,,197,318,,,209,1099,,,1624,,,110,,,405,125,,,170,,,5580,155,,,,148,2863,,1063,345,,416,552,901,2362,526,794,495,,187,,767,,303,,558,204,480,,554,,39885,102,,,2286,9877,,,,827,,,114,1872,54108,,,248,8149,189,,,134,,418569,,
2020/3/26,,146,302,188,,387,265,2364,5588,,,419,,,4937,,,176,2554,109,242,146,,,,,,3251,,,1142,81896,470,,201,,442,,132,1654,1862,712,,392,1173,456,,,,404,,,880,25600,,,37323,,,821,,,,,,,226,737,657,790,27017,346,1564,2369,74386,,1307,172,,,9137,,195,,221,333,,,274,1333,,,1796,,,129,,,475,149,,,225,,,6438,205,,,,177,3084,,1201,443,,480,636,1051,2995,537,906,658,,208,,900,,384,,631,216,528,,709,,49515,102,,,2526,10897,,,,934,,,173,2433,66044,,145,333,9614,217,,,141,,468155,,,,146,302,188,,387,265,2364,5588,,,419,,,4937,,,176,2554,109,242,146,,,,,,3251,,,1142,81896,470,,201,,442,,132,1654,1862,712,,392,1173,456,,,,404,,,880,25600,,,37323,,,821,,,,,,,226,737,657,790,27017,346,1564,2369,74386,,1307,172,,,9137,,195,,221,333,,,274,1333,,,1796,,,129,,,475,149,,,225,,,6438,205,,,,177,3084,,1201,443,,480,636,1051,2995,537,906,658,,208,,900,,384,,631,216,528,,709,,49515,102,,,2526,10897,,,,934,,,173,2433,66044,,145,333,9614,217,,,141,,468155,,
2020/3/27,,174,367,224,,502,290,2810,6909,122,,458,,,6235,,,191,2985,114,264,152,,,,,,4042,,,1306,82034,491,,231,,495,,146,1925,2023,712,,488,1403,495,,,,538,,,958,29551,,,43938,132,,892,,,,,,,261,802,727,893,29406,382,1819,2693,80589,,1387,212,111,,9241,,208,,244,368,,,299,1453,,,2031,,,134,,,585,177,,,275,,,7468,283,,,,201,3369,109,1373,558,,580,707,1221,3544,549,1029,840,,208,,1012,105,384,,683,226,562,,927,,57786,106,,,2840,11811,,,,1045,,,197,3629,84080,,196,333,11777,238,,107,153,,530138,,,,174,367,224,,502,290,2810,6909,122,,458,,,6235,,,191,2985,114,264,152,,,,,,4042,,,1306,82034,491,,231,,495,,146,1925,2023,712,,488,1403,495,,,,538,,,958,29551,,,43938,132,,892,,,,,,,261,802,727,893,29406,382,1819,2693,80589,,1387,212,111,,9241,,208,,244,368,,,299,1453,,,2031,,,134,,,585,177,,,275,,,7468,283,,,,201,3369,109,1373,558,,580,707,1221,3544,549,1029,840,,208,,1012,105,384,,683,226,562,,927,,57786,106,,,2840,11811,,,,1045,,,197,3629,84080,,196,333,11777,238,,107,153,,530138,,
2020/3/28,110,186,409,267,,589,329,3143,7657,165,,466,,,7284,,,237,3417,115,293,180,,,,,,4682,,,1610,82164,539,,263,101,586,,162,2279,2200,712,,581,1595,536,,,,575,,,1041,33402,,,50871,137,,966,,,,,,,300,890,887,1046,32332,458,2121,3035,86498,,1468,235,150,,9332,,225,,280,391,,,358,1605,,,2161,,,139,,,717,199,,,345,,,8647,368,,,,219,3755,131,1495,674,,635,803,1389,4268,562,1292,1036,,223,,1104,119,457,,732,269,632,,1170,,65719,106,,,3069,12928,,,,1136,,,227,5698,102254,,310,405,14690,274,,107,163,,594178,,,,186,409,267,,589,329,3143,7657,165,,466,,,7284,,,237,3417,115,293,180,,,,,,4682,,,1610,82164,539,,263,101,586,,162,2279,2200,712,,581,1595,536,,,,575,,,1041,33402,,,50871,137,,966,,,,,,,300,890,887,1046,32332,458,2121,3035,86498,,1468,235,150,,9332,,225,,280,391,,,358,1605,,,2161,,,139,,,717,199,,,345,,,8647,368,,,,219,3755,131,1495,674,,635,803,1389,4268,562,1292,1036,,223,,1104,119,457,,732,269,632,,1170,,65719,106,,,3069,12928,,,,1136,,,227,5698,102254,,310,405,14690,274,,107,163,,594178,,
2020/3/29,110,197,454,308,,690,407,3640,8271,182,,476,,,9134,,,258,3904,120,331,207,,,,,,5576,,,1909,82282,608,,295,101,657,119,179,2631,2366,712,,719,1823,576,,,,645,,,1167,38105,,,57695,141,,1061,,,,,,,343,963,987,1155,35408,506,2415,3619,92472,,1693,246,228,,9478,,235,,305,412,,,394,1831,,,2320,,,149,,102,848,231,,,402,,,9819,451,,,,241,4015,152,1597,786,,671,1075,1638,5170,590,1452,1264,,224,,1203,130,659,,802,292,684,,1187,,73235,113,,,3447,14076,,,,1245,,,278,7402,122054,,356,468,17256,303,104,119,174,,661544,,,,197,454,308,,690,407,3640,8271,182,,476,,,9134,,,258,3904,120,331,207,,,,,,5576,,,1909,82282,608,,295,101,657,119,179,2631,2366,712,,719,1823,576,,,,645,,,1167,38105,,,57695,141,,1061,,,,,,,343,963,987,1155,35408,506,2415,3619,92472,,1693,246,228,,9478,,235,,305,412,,,394,1831,,,2320,,,149,,102,848,231,,,402,,,9819,451,,,,241,4015,152,1597,786,,671,1075,1638,5170,590,1452,1264,,224,,1203,130,659,,802,292,684,,1187,,73235,113,,,3447,14076,,,,1245,,,278,7402,122054,,356,468,17256,303,104,119,174,,661544,,
2020/3/30,120,212,511,334,,745,424,3984,8788,209,,499,,,10836,,,323,4256,126,346,222,,,,103,139,6280,,,2139,82420,702,,314,165,713,139,214,2817,2564,712,,859,1924,609,,,,679,,,1240,40708,,,62095,152,,1156,,,,,,110,408,1020,1024,1285,38309,547,2615,4247,97689,,1866,259,284,,9583,,255,,347,438,,,460,1950,,,2470,,,151,,107,993,263,,,479,,,10930,514,,,111,259,4284,167,1717,901,,852,1418,1862,5962,634,1815,1534,,224,,1299,142,741,,844,314,730,,1280,,80110,117,,,3700,14829,,,,1388,,,312,9217,141194,,475,570,19715,309,144,119,188,109,720695,,,,212,511,334,,745,424,3984,8788,209,,499,,,10836,,,323,4256,126,346,222,,,,103,139,6280,,,2139,82420,702,,314,165,713,139,214,2817,2564,712,,859,1924,609,,,,679,,,1240,40708,,,62095,152,,1156,,,,,,110,408,1020,1024,1285,38309,547,2615,4247,97689,,1866,259,284,,9583,,255,,347,438,,,460,1950,,,2470,,,151,,107,993,263,,,479,,,10930,514,,,111,259,4284,167,1717,901,,852,1418,1862,5962,634,1815,1534,,224,,1299,142,741,,844,314,730,,1280,,80110,117,,,3700,14829,,,,1388,,,312,9217,141194,,475,570,19715,309,144,119,188,109,720695,,
2020/3/31,170,223,584,370,,820,482,4361,9618,273,,515,,152,11899,,,368,4579,127,359,246,,,,107,139,7398,,,2449,82504,798,,330,168,790,170,230,3001,2755,712,,901,1962,656,,,,715,,,1352,45170,,103,66885,152,,1212,,,,,,139,447,1086,1251,1414,41495,630,2910,4695,101739,,1866,268,302,,9661,,266,,376,446,,,491,1988,,,2626,,,156,,128,1094,298,,,556,,,11817,589,,,131,285,4445,179,1938,989,,950,1546,2055,6408,693,2109,1836,,230,,1453,162,785,,879,336,756,,1326,,87956,122,,,4028,15922,,,,1524,,,312,10827,162690,,548,611,22384,320,149,135,203,116,783580,,,,223,584,370,,820,482,4361,9618,273,,515,,152,11899,,,368,4579,127,359,246,,,,107,139,7398,,,2449,82504,798,,330,168,790,170,230,3001,2755,712,,901,1962,656,,,,715,,,1352,45170,,103,66885,152,,1212,,,,,,139,447,1086,1251,1414,41495,630,2910,4695,101739,,1866,268,302,,9661,,266,,376,446,,,491,1988,,,2626,,,156,,128,1094,298,,,556,,,11817,589,,,131,285,4445,179,1938,989,,950,1546,2055,6408,693,2109,1836,,230,,1453,162,785,,879,336,756,,1326,,87956,122,,,4028,15922,,,,1524,,,312,10827,162690,,548,611,22384,320,149,135,203,116,783580,,
2020/4/1,174,243,716,376,,1054,532,4559,10180,298,,567,,152,12775,,107,420,5717,129,399,261,,,,109,193,8527,,,2738,82601,906,,347,179,867,186,262,3308,3039,712,,1109,2240,710,,,,745,,,1418,52827,,110,71808,161,,1314,,,,,,141,492,1135,1397,1528,44605,694,3235,5358,105792,,1953,274,343,,9786,112,289,107,398,470,,,537,2178,,,2766,,,169,,143,1215,353,,109,617,,,12667,647,,,135,329,4641,192,2118,1181,,1065,2084,2311,7443,781,2245,2337,,236,,1563,175,900,,926,363,802,,1353,,95923,143,,,4435,16605,,,,1651,,,394,13531,188701,,645,664,25412,338,172,135,212,119,858317,,,,243,716,376,,1054,532,4559,10180,298,,567,,152,12775,,107,420,5717,129,399,261,,,,109,193,8527,,,2738,82601,906,,347,179,867,186,262,3308,3039,712,,1109,2240,710,,,,745,,,1418,52827,,110,71808,161,,1314,,,,,,141,492,1135,1397,1528,44605,694,3235,5358,105792,,1953,274,343,,9786,112,289,107,398,470,,,537,2178,,,2766,,,169,,143,1215,353,,109,617,,,12667,647,,,135,329,4641,192,2118,1181,,1065,2084,2311,7443,781,2245,2337,,236,,1563,175,900,,926,363,802,,1353,,95923,143,,,4435,16605,,,,1651,,,394,13531,188701,,645,664,25412,338,172,135,212,119,858317,,
2020/4/2,237,259,847,390,,1054,571,4862,10711,359,,569,,163,13964,,115,459,6836,131,422,282,,,,109,233,9560,,,3031,82690,1065,,375,190,963,212,320,3508,3290,712,,1284,2748,779,,,,779,,,1446,57749,,117,77872,195,,1415,,,,,,172,525,1220,1998,1677,47593,728,3447,6092,110574,,2178,278,380,,9887,125,317,111,446,479,,,581,2319,,,2908,,,188,,161,1378,423,,123,654,,,13696,708,,,174,354,4863,210,2421,1181,,1323,2311,2554,8251,835,2460,2777,,236,,1720,190,1060,,1000,400,841,,1380,,104118,146,,,4947,17768,,,,1771,,,423,15679,214194,,794,814,29784,350,181,143,218,134,933905,,,,259,847,390,,1054,571,4862,10711,359,,569,,163,13964,,115,459,6836,131,422,282,,,,109,233,9560,,,3031,82690,1065,,375,190,963,212,320,3508,3290,712,,1284,2748,779,,,,779,,,1446,57749,,117,77872,195,,1415,,,,,,172,525,1220,1998,1677,47593,728,3447,6092,110574,,2178,278,380,,9887,125,317,111,446,479,,,581,2319,,,2908,,,188,,161,1378,423,,123,654,,,13696,708,,,174,354,4863,210,2421,1181,,1323,2311,2554,8251,835,2460,2777,,236,,1720,190,1060,,1000,400,841,,1380,,104118,146,,,4947,17768,,,,1771,,,423,15679,214194,,794,814,29784,350,181,143,218,134,933905,,
2020/4/3,273,277,986,428,,1133,663,5116,11129,400,,643,,304,15348,,123,533,8044,133,457,288,,,,110,306,11284,,,3404,82771,1161,,396,194,1011,233,356,3858,3573,712,,1380,3163,865,,,,858,,,1518,59929,,134,84794,204,,1544,,,,,,219,585,1319,2543,1790,50468,772,3849,6857,115242,,2495,299,435,110,9976,125,342,116,458,494,,,649,2487,,,3116,,,196,,169,1510,505,,144,708,,,14788,797,,,184,384,5147,231,2686,1317,,1414,2633,2946,9034,949,2738,3548,,245,,1885,195,1171,,1049,426,897,,1462,,112065,151,,,5568,18827,,,,1875,,,455,18135,244593,,897,1024,34085,369,205,146,233,161,1014713,,,,277,986,428,,1133,663,5116,11129,400,,643,,304,15348,,123,533,8044,133,457,288,,,,110,306,11284,,,3404,82771,1161,,396,194,1011,233,356,3858,3573,712,,1380,3163,865,,,,858,,,1518,59929,,134,84794,204,,1544,,,,,,219,585,1319,2543,1790,50468,772,3849,6857,115242,,2495,299,435,110,9976,125,342,116,458,494,,,649,2487,,,3116,,,196,,169,1510,505,,144,708,,,14788,797,,,184,384,5147,231,2686,1317,,1414,2633,2946,9034,949,2738,3548,,245,,1885,195,1171,,1049,426,897,,1462,,112065,151,,,5568,18827,,,,1875,,,455,18135,244593,,897,1024,34085,369,205,146,233,161,1014713,,
2020/4/4,281,304,1171,439,,1265,736,5330,11524,443,,672,,351,16770,,132,579,9056,134,485,302,,,,114,509,12437,,,3737,82859,1267,,416,218,1079,269,396,4091,3946,712,,1488,3368,985,,,,961,,,1615,65202,,155,91159,205,,1613,,,,,,222,623,1364,2567,1986,53183,820,4273,7428,119827,,2617,310,464,122,10062,126,417,130,493,508,,,696,2612,,,3333,,,202,,186,1688,591,,174,791,,,15821,868,,120,210,430,5370,252,2818,1475,,1595,3018,3383,9886,1075,3183,4149,,245,,2039,207,1476,,1114,450,934,,1505,,119199,159,,,6131,19606,,,,1978,,,495,20921,276535,,1072,1264,38594,386,227,153,237,194,1097193,,,,304,1171,439,,1265,736,5330,11524,443,,672,,351,16770,,132,579,9056,134,485,302,,,,114,509,12437,,,3737,82859,1267,,416,218,1079,269,396,4091,3946,712,,1488,3368,985,,,,961,,,1615,65202,,155,91159,205,,1613,,,,,,222,623,1364,2567,1986,53183,820,4273,7428,119827,,2617,310,464,122,10062,126,417,130,493,508,,,696,2612,,,3333,,,202,,186,1688,591,,174,791,,,15821,868,,120,210,430,5370,252,2818,1475,,1595,3018,3383,9886,1075,3183,4149,,245,,2039,207,1476,,1114,450,934,,1505,,119199,159,,,6131,19606,,,,1978,,,495,20921,276535,,1072,1264,38594,386,227,153,237,194,1097193,,
2020/4/5,299,333,1251,466,,1451,770,5550,11781,521,,688,,440,18431,,139,624,10360,135,503,318,,,,114,555,12978,,,4161,82898,1406,,435,245,1126,288,426,4472,4269,712,,1488,3465,1070,,,,1039,,,1882,69500,,162,96092,205,,1673,,111,,,,264,678,1417,3082,2092,55743,878,4604,7851,124632,,3139,323,531,126,10156,135,479,144,509,520,,,771,2729,,,3483,,,213,,196,1890,752,,201,919,,,16727,950,,144,214,483,5550,277,3157,1673,,1746,3094,3627,10524,1325,3613,4731,102,259,,2179,219,1624,,1189,471,977,,1585,,126168,166,,,6443,20505,,,,2067,,103,553,23934,309699,,1225,1505,42379,400,266,155,240,217,1177447,,,,333,1251,466,,1451,770,5550,11781,521,,688,,440,18431,,139,624,10360,135,503,318,,,,114,555,12978,,,4161,82898,1406,,435,245,1126,288,426,4472,4269,712,,1488,3465,1070,,,,1039,,,1882,69500,,162,96092,205,,1673,,111,,,,264,678,1417,3082,2092,55743,878,4604,7851,124632,,3139,323,531,126,10156,135,479,144,509,520,,,771,2729,,,3483,,,213,,196,1890,752,,201,919,,,16727,950,,144,214,483,5550,277,3157,1673,,1746,3094,3627,10524,1325,3613,4731,102,259,,2179,219,1624,,1189,471,977,,1585,,126168,166,,,6443,20505,,,,2067,,103,553,23934,309699,,1225,1505,42379,400,266,155,240,217,1177447,,
2020/4/6,349,361,1320,501,,1451,822,5687,12051,584,,700,,562,19691,,157,654,11130,135,531,345,,,,114,650,15756,,,4471,82965,1485,,454,261,1182,320,446,4587,4561,712,,1745,3646,1173,,,,1097,,,1927,71412,,174,100123,214,103,1735,,121,,,,268,733,1486,3588,2273,58226,961,4994,8430,128948,,3139,345,584,142,10237,145,556,147,533,527,,,811,2804,,,3662,,,227,,227,2143,864,,214,1021,,,17953,1039,,184,232,555,5687,298,3766,1801,104,2281,3246,4102,11278,1604,3864,5389,104,266,,2402,222,1908,,1309,485,997,,1655,,131646,176,,,6830,21100,,,,2169,,104,574,27069,337573,,1308,1799,48333,406,342,159,241,237,1251123,,,,361,1320,501,,1451,822,5687,12051,584,,700,,562,19691,,157,654,11130,135,531,345,,,,114,650,15756,,,4471,82965,1485,,454,261,1182,320,446,4587,4561,712,,1745,3646,1173,,,,1097,,,1927,71412,,174,100123,214,103,1735,,121,,,,268,733,1486,3588,2273,58226,961,4994,8430,128948,,3139,345,584,142,10237,145,556,147,533,527,,,811,2804,,,3662,,,227,,227,2143,864,,214,1021,,,17953,1039,,184,232,555,5687,298,3766,1801,104,2281,3246,4102,11278,1604,3864,5389,104,266,,2402,222,1908,,1309,485,997,,1655,,131646,176,,,6830,21100,,,,2169,,104,574,27069,337573,,1308,1799,48333,406,342,159,241,237,1251123,,
2020/4/7,367,377,1423,525,,1554,833,5797,12297,641,,756,123,700,20814,,183,674,12161,135,549,364,,,,114,658,16563,,,4815,83038,1579,,467,323,1222,350,465,4822,4875,712,,1828,3747,1322,,,,1108,,,2176,75343,,188,103374,214,109,1755,,128,,,,298,744,1562,4778,2491,60500,1031,5364,8904,132547,,3654,349,662,158,10284,145,665,216,542,541,,,843,2843,,,3793,,,241,,244,2439,965,,233,1120,,,18926,1106,,253,238,570,5865,331,4035,1988,113,2561,3660,4413,11730,1832,4057,6343,105,266,,2605,226,2200,,1375,534,1021,,1686,,136675,178,,,7206,21657,,,,2220,,105,596,30217,367210,,1319,2076,52170,415,457,165,245,254,1322598,,,,377,1423,525,,1554,833,5797,12297,641,,756,123,700,20814,,183,674,12161,135,549,364,,,,114,658,16563,,,4815,83038,1579,,467,323,1222,350,465,4822,4875,712,,1828,3747,1322,,,,1108,,,2176,75343,,188,103374,214,109,1755,,128,,,,298,744,1562,4778,2491,60500,1031,5364,8904,132547,,3654,349,662,158,10284,145,665,216,542,541,,,843,2843,,,3793,,,241,,244,2439,965,,233,1120,,,18926,1106,,253,238,570,5865,331,4035,1988,113,2561,3660,4413,11730,1832,4057,6343,105,266,,2605,226,2200,,1375,534,1021,,1686,,136675,178,,,7206,21657,,,,2220,,105,596,30217,367210,,1319,2076,52170,415,457,165,245,254,1322598,,
2020/4/8,423,383,1468,545,,1628,853,5895,12639,717,,811,164,861,22194,,194,764,14034,135,577,384,,,,115,658,17872,,,5116,83094,1780,,483,349,1282,396,494,5017,5266,712,,1956,3747,1450,,,,1149,,,2308,79163,,196,107663,287,113,1832,,144,,,,305,817,1586,5311,2738,62589,1122,5709,9248,135586,,3906,353,697,172,10331,170,743,228,548,548,,,880,2970,,,3963,,,293,,268,2785,1056,,241,1184,,,19709,1160,,278,254,599,6086,371,4263,2100,115,2954,3764,4848,12442,2057,4417,7497,105,279,,2795,237,2447,,1481,581,1059,,1749,,141942,185,,,7693,22253,,,,2258,,107,623,34109,397992,,1462,2359,55836,424,520,165,249,261,1397537,,,,383,1468,545,,1628,853,5895,12639,717,,811,164,861,22194,,194,764,14034,135,577,384,,,,115,658,17872,,,5116,83094,1780,,483,349,1282,396,494,5017,5266,712,,1956,3747,1450,,,,1149,,,2308,79163,,196,107663,287,113,1832,,144,,,,305,817,1586,5311,2738,62589,1122,5709,9248,135586,,3906,353,697,172,10331,170,743,228,548,548,,,880,2970,,,3963,,,293,,268,2785,1056,,241,1184,,,19709,1160,,278,254,599,6086,371,4263,2100,115,2954,3764,4848,12442,2057,4417,7497,105,279,,2795,237,2447,,1481,581,1059,,1749,,141942,185,,,7693,22253,,,,2258,,107,623,34109,397992,,1462,2359,55836,424,520,165,249,261,1397537,,
2020/4/9,444,400,1572,564,,1715,881,6010,12942,822,,823,218,1066,23403,,210,804,16170,135,593,414,,,,117,730,19141,,,5546,83188,2054,,502,384,1343,457,526,5312,5597,712,135,2111,4450,1560,,,,1185,,,2487,83057,,211,113296,313,120,1884,,164,,,,312,895,1616,5916,2956,64586,1202,6074,9404,139422,,4257,358,727,179,10384,184,855,270,577,576,,,912,3034,,,4119,,,299,,273,3181,1174,,248,1275,,,20682,1210,,342,276,617,6086,419,4489,2249,119,4342,3870,5205,13141,2210,4761,8672,110,279,,2932,244,2666,,1623,682,1091,,1845,,148220,189,,,8419,23280,,,,2369,,107,628,38226,429686,,1668,2659,61354,456,545,167,251,263,1481490,,,,400,1572,564,,1715,881,6010,12942,822,,823,218,1066,23403,,210,804,16170,135,593,414,,,,117,730,19141,,,5546,83188,2054,,502,384,1343,457,526,5312,5597,712,135,2111,4450,1560,,,,1185,,,2487,83057,,211,113296,313,120,1884,,164,,,,312,895,1616,5916,2956,64586,1202,6074,9404,139422,,4257,358,727,179,10384,184,855,270,577,576,,,912,3034,,,4119,,,299,,273,3181,1174,,248,1275,,,20682,1210,,342,276,617,6086,419,4489,2249,119,4342,3870,5205,13141,2210,4761,8672,110,279,,2932,244,2666,,1623,682,1091,,1845,,148220,189,,,8419,23280,,,,2369,,107,628,38226,429686,,1668,2659,61354,456,545,167,251,263,1481490,,
2020/4/10,484,409,1666,583,,1795,921,6108,13244,926,,887,330,1486,24983,,264,858,18092,135,618,443,,,,119,730,20654,,,5972,83263,2223,,539,444,1407,515,564,5569,5830,712,135,2349,4965,1699,103,,,1207,,,2605,87366,,218,118181,378,123,1955,,194,,,,343,980,1648,6725,3293,66220,1232,6574,9968,143626,,4667,372,781,184,10423,184,910,280,589,582,,,955,3115,,,4228,,,337,,314,3441,1289,,252,1374,,,21903,1239,,410,288,663,6211,457,4695,2528,124,5256,4076,5575,13956,2376,5202,10131,110,333,,3287,250,2867,,1910,701,1124,,1934,,153222,190,,,9141,24051,,,,2423,,109,643,42282,464442,,1892,2990,65749,473,582,171,255,263,1567423,,,,409,1666,583,,1795,921,6108,13244,926,,887,330,1486,24983,,264,858,18092,135,618,443,,,,119,730,20654,,,5972,83263,2223,,539,444,1407,515,564,5569,5830,712,135,2349,4965,1699,103,,,1207,,,2605,87366,,218,118181,378,123,1955,,194,,,,343,980,1648,6725,3293,66220,1232,6574,9968,143626,,4667,372,781,184,10423,184,910,280,589,582,,,955,3115,,,4228,,,337,,314,3441,1289,,252,1374,,,21903,1239,,410,288,663,6211,457,4695,2528,124,5256,4076,5575,13956,2376,5202,10131,110,333,,3287,250,2867,,1910,701,1124,,1934,,153222,190,,,9141,24051,,,,2423,,109,643,42282,464442,,1892,2990,65749,473,582,171,255,263,1567423,,
2020/4/11,521,416,1761,601,,1975,937,6215,13555,991,,925,424,1981,26667,,268,901,19638,136,635,443,,,,119,820,22059,,,6501,83323,2473,,558,444,1495,564,595,5732,6014,712,150,2620,7161,1794,117,,,1258,,,2769,91738,,234,122171,378,127,2011,126,212,,,,382,1190,1675,7598,3512,68192,1279,8089,10408,147577,,5530,372,812,189,10450,250,993,298,612,609,,,999,3223,,,4346,,,350,,318,3844,1438,,255,1448,,,23249,1283,,438,305,711,6314,484,5011,2752,129,5897,4195,5955,15472,2512,5467,11917,118,344,,3651,265,3105,,2108,715,1160,,2003,,158273,190,,,9685,24551,,,,2473,,109,671,47029,497943,,2203,3360,74478,494,624,171,257,267,1659674,,,,416,1761,601,,1975,937,6215,13555,991,,925,424,1981,26667,,268,901,19638,136,635,443,,,,119,820,22059,,,6501,83323,2473,,558,444,1495,564,595,5732,6014,712,150,2620,7161,1794,117,,,1258,,,2769,91738,,234,122171,378,127,2011,126,212,,,,382,1190,1675,7598,3512,68192,1279,8089,10408,147577,,5530,372,812,189,10450,250,993,298,612,609,,,999,3223,,,4346,,,350,,318,3844,1438,,255,1448,,,23249,1283,,438,305,711,6314,484,5011,2752,129,5897,4195,5955,15472,2512,5467,11917,118,344,,3651,265,3105,,2108,715,1160,,2003,,158273,190,,,9685,24551,,,,2473,,109,671,47029,497943,,2203,3360,74478,494,624,171,257,267,1659674,,
